Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
overweight,vegetarian,male,moderate,frequently,gas,public,petrol,large,frequently,18,7,94,6.96,4310,7.46
underweight,pescetarian,female,high,rarely,gas,hybrid,hybrid,large,never,10,6,123,2.41,2760,2.75
athletic,omnivore,female,moderate,twice a day,wood,public,petrol,extra large,frequently,4,2,306,10.62,2747,9.31
athletic,vegan,other,moderate,frequently,wood,walk,hybrid,extra large,frequently,15,6,152,2.5,4567,3.66
athletic,vegan,other,moderate,twice a day,electricity,walk,petrol,large,rarely,8,6,141,3.2,969,1.05
athletic,vegetarian,male,low,rarely,electricity,bike,petrol,extra large,rarely,5,4,286,7.9,3020,1.73
average,vegan,other,high,daily,wood,bike,diesel,small,never,7,4,133,1.56,1550,3.06
athletic,pescetarian,other,moderate,rarely,electricity,hybrid,diesel,extra large,rarely,0,3,581,7.32,2534,2.49
athletic,omnivore,male,high,daily,solar,hybrid,electric,medium,never,0,3,72,3.63,3576,2.71
athletic,vegan,female,high,daily,electricity,public,petrol,large,frequently,4,1,210,7.51,1576,6.21
athletic,vegan,female,low,frequently,solar,bike,petrol,small,never,17,4,57,9.58,3236,5.26
underweight,omnivore,male,high,daily,solar,hybrid,diesel,large,frequently,3,4,368,4.73,2609,7.41
athletic,vegetarian,male,moderate,daily,gas,public,electric,extra large,frequently,15,5,181,3.97,4693,8.11
underweight,vegan,male,low,daily,electricity,private,petrol,large,rarely,19,7,596,3.97,3495,5.65
average,vegetarian,male,low,twice a day,solar,public,hybrid,extra large,frequently,18,3,142,4.29,2678,6.34
overweight,vegetarian,male,high,frequently,electricity,hybrid,hybrid,small,frequently,6,5,361,9.4,3858,7.98
athletic,vegan,male,low,frequently,electricity,public,electric,small,never,14,4,343,5.17,1770,1.81
overweight,pescetarian,other,high,daily,wood,private,petrol,large,rarely,17,3,478,8.56,855,4.91
overweight,vegetarian,other,high,twice a day,wood,hybrid,petrol,small,rarely,8,7,491,8.88,3564,5.76
average,vegan,other,low,daily,gas,public,diesel,large,rarely,6,,141,6.39,4682,6.38
overweight,vegetarian,female,moderate,frequently,electricity,hybrid,diesel,large,frequently,0,2,424,5.46,2565,5.88
underweight,omnivore,male,high,frequently,wood,public,petrol,large,frequently,12,7,512,4.54,269,4.16
overweight,pescetarian,male,low,frequently,solar,walk,hybrid,large,never,3,6,368,7.86,1392,3.59
overweight,pescetarian,other,low,frequently,solar,hybrid,diesel,medium,rarely,1,7,536,6.17,4135,4.97
overweight,omnivore,female,high,twice a day,gas,hybrid,hybrid,medium,rarely,9,5,277,3.5,3847,1.6
athletic,omnivore,other,high,rarely,solar,hybrid,hybrid,extra large,frequently,4,3,446,6.39,820,5.24
athletic,vegetarian,male,high,rarely,electricity,hybrid,hybrid,small,never,2,3,51,7.9,3999,9.69
underweight,omnivore,male,high,twice a day,solar,public,hybrid,medium,frequently,4,4,460,6.53,4465,1.49
underweight,pescetarian,other,moderate,daily,gas,bike,electric,medium,rarely,10,4,154,0.18,2636,2.38
athletic,omnivore,other,moderate,frequently,gas,public,electric,small,frequently,17,1,267,11.92,3793,6.67
underweight,vegan,male,moderate,frequently,solar,private,diesel,large,never,19,1,324,9.08,2865,7.37
athletic,vegan,other,moderate,frequently,electricity,walk,petrol,medium,never,1,5,70,2.92,2071,5.28
average,vegetarian,male,low,twice a day,wood,public,electric,medium,frequently,15,3,363,9.13,2331,9.25
overweight,pescetarian,other,high,twice a day,electricity,public,petrol,medium,rarely,17,4,459,9.21,4201,5.34
overweight,vegan,female,low,frequently,electricity,hybrid,diesel,medium,frequently,5,5,507,7.21,4023,1.98
underweight,omnivore,male,low,frequently,electricity,private,hybrid,large,frequently,14,3,349,7.5,1614,5.31
athletic,vegan,female,moderate,daily,solar,hybrid,petrol,small,never,11,4,76,1.94,1136,5.63
athletic,vegan,other,low,rarely,wood,hybrid,electric,medium,frequently,3,1,434,4.47,1694,4.86
underweight,vegetarian,female,moderate,twice a day,electricity,bike,petrol,medium,never,11,3,122,7.06,2460,9.23
athletic,omnivore,other,high,rarely,wood,walk,electric,medium,never,10,4,80,0.93,3473,5.31
average,omnivore,female,moderate,frequently,gas,bike,petrol,medium,frequently,8,5,440,11.74,2261,7.23
overweight,omnivore,female,high,rarely,wood,hybrid,electric,small,never,0,5,58,1.22,1432,5.58
underweight,vegetarian,female,moderate,rarely,solar,walk,hybrid,large,frequently,17,2,248,4.84,266,7.54
underweight,omnivore,male,low,twice a day,gas,public,petrol,extra large,rarely,5,3,525,10.96,1143,1.98
athletic,omnivore,female,low,twice a day,gas,private,diesel,small,rarely,11,5,430,0.18,2551,9.5
underweight,vegan,other,moderate,daily,electricity,bike,petrol,medium,never,2,3,531,8.2,197,6.51
average,vegan,other,high,frequently,wood,private,electric,extra large,rarely,0,5,486,4.66,789,3.77
athletic,omnivore,male,high,daily,gas,hybrid,petrol,medium,rarely,6,3,193,8.61,3969,3.1
athletic,pescetarian,male,moderate,twice a day,gas,walk,diesel,small,frequently,17,3,457,7.97,1861,7.64
athletic,pescetarian,other,low,daily,wood,public,hybrid,large,frequently,11,3,379,7.16,2767,3.41
athletic,omnivore,female,high,rarely,wood,walk,petrol,extra large,rarely,19,2,223,10.38,4301,5.04
average,pescetarian,other,moderate,rarely,gas,private,hybrid,extra large,rarely,15,7,282,0.06,1598,6.55
athletic,vegetarian,male,high,twice a day,gas,private,hybrid,large,frequently,19,1,484,1.75,1690,8.72
underweight,vegan,male,low,rarely,wood,public,hybrid,large,frequently,6,6,550,9.44,3540,8.46
average,vegetarian,other,high,frequently,solar,public,electric,extra large,rarely,16,3,591,7.62,4894,7
overweight,vegan,female,moderate,twice a day,wood,walk,petrol,extra large,never,3,1,339,11.11,1506,3.38
overweight,pescetarian,female,high,frequently,solar,bike,petrol,extra large,frequently,9,7,324,5.27,3311,2.46
underweight,pescetarian,male,high,twice a day,gas,walk,diesel,extra large,frequently,5,6,461,6.6,2823,5.91
underweight,omnivore,other,low,twice a day,electricity,private,hybrid,large,rarely,1,1,55,7.49,714,8.93
average,pescetarian,other,low,rarely,wood,walk,electric,small,rarely,3,1,194,2.11,485,4.67
overweight,pescetarian,male,low,twice a day,gas,hybrid,electric,small,never,17,5,150,1.72,2271,7.63
overweight,omnivore,other,low,twice a day,gas,walk,diesel,large,frequently,0,4,213,3.04,2189,8.49
overweight,omnivore,male,moderate,daily,electricity,walk,petrol,small,rarely,0,6,562,4.63,1629,3.36
overweight,vegan,female,high,rarely,wood,hybrid,petrol,small,rarely,15,1,193,5.85,261,9.68
overweight,pescetarian,female,high,frequently,gas,private,electric,medium,never,12,7,501,5.57,4041,3.3
athletic,vegan,other,high,twice a day,solar,public,electric,small,never,13,3,96,9.5,3970,6.3
underweight,vegan,female,high,frequently,electricity,walk,diesel,extra large,frequently,10,4,72,1.61,3496,7.01
athletic,vegetarian,female,moderate,daily,solar,bike,electric,small,rarely,19,5,244,4.43,4599,5.98
overweight,pescetarian,male,low,twice a day,wood,public,electric,large,rarely,7,2,495,11.35,686,6.59
average,pescetarian,male,high,frequently,solar,bike,diesel,small,frequently,9,1,134,9.26,706,2.9
average,vegetarian,other,high,rarely,electricity,walk,hybrid,large,never,15,1,393,5.14,3039,2.3
overweight,vegan,male,low,daily,gas,bike,electric,extra large,frequently,6,5,516,6.97,188,1.14
overweight,pescetarian,other,low,daily,electricity,public,petrol,medium,frequently,4,3,348,5.64,487,6.48
average,vegan,other,high,frequently,gas,bike,hybrid,medium,frequently,9,7,420,4.61,4792,9.32
athletic,vegetarian,male,low,twice a day,gas,bike,electric,small,never,17,6,221,1.59,1484,7.13
athletic,omnivore,female,high,twice a day,solar,public,hybrid,small,never,6,6,281,2.01,3812,6.86
overweight,vegan,female,high,rarely,electricity,public,electric,large,rarely,3,6,535,3.46,1037,5.79
athletic,pescetarian,female,high,rarely,electricity,public,petrol,medium,rarely,9,3,587,4.38,4886,6.56
average,omnivore,female,high,twice a day,gas,public,electric,extra large,frequently,17,7,209,3.02,4820,7.51
athletic,vegan,other,high,daily,electricity,hybrid,petrol,large,rarely,17,7,92,6.93,3464,2.36
overweight,vegan,female,high,rarely,wood,walk,electric,small,never,2,4,161,7.18,4952,7.57
average,omnivore,other,low,rarely,wood,public,electric,medium,rarely,12,4,507,0.55,406,2.4
athletic,omnivore,male,moderate,daily,solar,private,hybrid,small,rarely,13,3,507,7.8,3736,3.65
underweight,omnivore,male,moderate,twice a day,solar,bike,diesel,medium,never,13,2,290,5.61,2660,4.05
average,pescetarian,other,high,frequently,electricity,public,petrol,large,rarely,0,3,444,6.56,547,3.57
average,pescetarian,female,low,rarely,solar,public,hybrid,extra large,never,4,2,167,10.72,3429,5.72
underweight,vegan,other,high,daily,electricity,walk,diesel,extra large,rarely,9,7,511,2.2,2277,6
underweight,vegan,female,low,rarely,solar,public,hybrid,extra large,rarely,13,5,528,4.85,4686,8.38
average,vegetarian,female,high,daily,wood,hybrid,petrol,extra large,frequently,18,6,186,5.82,3741,6.19
underweight,pescetarian,other,high,rarely,gas,private,diesel,extra large,rarely,6,2,290,7.09,116,9.97
overweight,vegan,other,moderate,twice a day,gas,private,diesel,small,frequently,14,7,176,8.13,4409,7.25
overweight,omnivore,female,low,daily,wood,public,diesel,small,rarely,8,6,532,1.55,4714,7.57
overweight,omnivore,other,low,frequently,gas,walk,petrol,extra large,frequently,9,5,403,8.99,1493,9.98
average,pescetarian,female,moderate,frequently,electricity,public,petrol,medium,rarely,7,6,284,2.65,4513,3.11
underweight,omnivore,other,moderate,rarely,electricity,bike,hybrid,large,never,8,6,387,11.41,1602,6.82
underweight,vegetarian,male,moderate,frequently,wood,private,electric,medium,rarely,10,1,463,1.27,2641,8.99
athletic,vegan,female,moderate,rarely,wood,bike,electric,medium,never,7,3,180,11.84,3965,9.71
athletic,vegan,male,low,daily,wood,hybrid,electric,extra large,never,17,7,110,11.14,833,5.02
underweight,vegan,other,low,daily,wood,private,electric,medium,frequently,4,4,540,10.67,2429,4.88
underweight,pescetarian,male,moderate,frequently,gas,private,hybrid,small,never,7,1,308,0.36,1705,1.85
underweight,omnivore,other,high,frequently,gas,hybrid,petrol,large,never,1,4,448,2.42,2726,9.14
average,vegetarian,female,high,twice a day,gas,bike,hybrid,large,frequently,17,2,336,6.81,4822,9.43
underweight,pescetarian,other,high,daily,electricity,public,diesel,large,rarely,18,3,248,8.66,3916,8.96
athletic,vegan,other,high,frequently,solar,walk,petrol,medium,rarely,17,3,376,8.82,306,3.03
average,vegetarian,female,low,frequently,electricity,bike,petrol,large,never,19,3,141,,2910,3.72
underweight,vegan,other,low,frequently,solar,hybrid,electric,large,frequently,15,1,277,8.26,632,9.54
athletic,vegan,female,low,rarely,wood,hybrid,hybrid,small,rarely,3,5,159,5.96,3241,6.53
average,pescetarian,other,high,twice a day,wood,hybrid,electric,extra large,frequently,16,2,330,3.76,1658,
underweight,vegan,female,moderate,daily,gas,private,petrol,extra large,frequently,5,1,599,8.27,1564,4.75
underweight,vegetarian,male,high,frequently,gas,public,electric,small,never,11,1,134,3.01,4058,6.54
underweight,vegan,other,low,frequently,solar,private,diesel,small,frequently,6,5,389,7.74,4504,2.44
average,omnivore,other,high,frequently,solar,private,petrol,extra large,never,13,4,247,7.35,865,9.54
athletic,vegan,other,moderate,rarely,gas,private,diesel,medium,frequently,11,4,125,7.09,766,9.51
athletic,pescetarian,female,moderate,daily,wood,hybrid,petrol,small,never,19,3,222,6.39,306,8.71
overweight,vegetarian,other,high,frequently,gas,bike,electric,large,rarely,1,1,274,3.27,4395,3.3
underweight,pescetarian,female,low,frequently,wood,walk,petrol,small,frequently,3,5,68,2.41,1916,8.88
overweight,omnivore,other,low,rarely,wood,walk,petrol,medium,never,7,7,286,4.6,3854,7.3
overweight,vegan,male,low,rarely,electricity,public,hybrid,small,rarely,9,5,475,11.65,3859,3.22
athletic,pescetarian,other,high,twice a day,electricity,public,hybrid,large,never,16,4,142,9.45,4000,8.52
average,pescetarian,male,low,twice a day,solar,hybrid,diesel,small,never,6,5,591,4.61,1144,1.82
average,pescetarian,female,high,daily,wood,walk,hybrid,small,never,9,4,188,8.2,3701,7.45
athletic,pescetarian,male,low,twice a day,gas,bike,petrol,small,never,16,4,389,3.37,1600,9.98
average,omnivore,other,moderate,daily,wood,hybrid,hybrid,extra large,never,15,7,334,2.58,958,4.88
overweight,omnivore,other,moderate,twice a day,solar,public,electric,extra large,frequently,12,6,531,7,2443,6.59
underweight,vegan,female,low,frequently,wood,hybrid,hybrid,medium,rarely,17,1,282,3.07,3352,2.95
athletic,vegan,other,high,twice a day,wood,public,diesel,extra large,rarely,4,6,282,6.56,4601,5.2
underweight,vegetarian,other,low,frequently,solar,walk,petrol,medium,rarely,7,2,88,0.96,2267,1.97
average,omnivore,female,high,daily,wood,hybrid,electric,extra large,frequently,6,6,109,10.02,283,7.26
underweight,pescetarian,female,moderate,twice a day,electricity,private,electric,medium,never,17,3,275,4.58,1803,7.95
average,pescetarian,male,high,twice a day,solar,public,diesel,medium,frequently,5,2,529,0.19,3428,6.3
average,vegetarian,female,low,twice a day,electricity,private,hybrid,medium,never,12,7,455,11.5,1534,7.67
overweight,pescetarian,other,moderate,frequently,solar,public,petrol,small,frequently,8,5,422,6.54,3604,7.21
average,vegetarian,female,high,frequently,wood,private,diesel,small,rarely,7,6,392,10.99,4819,9.31
overweight,vegan,other,high,twice a day,electricity,walk,electric,medium,frequently,11,2,456,2.25,2461,5.31
overweight,omnivore,male,moderate,daily,electricity,walk,electric,medium,never,9,2,324,3.6,703,5.85
overweight,vegetarian,female,low,frequently,gas,bike,electric,small,rarely,6,4,71,4.6,4477,4.35
athletic,pescetarian,other,moderate,rarely,electricity,bike,diesel,large,rarely,6,1,434,2.34,2935,4.18
athletic,vegetarian,female,low,daily,electricity,bike,electric,small,never,16,5,75,5.45,4534,8.36
average,vegan,female,low,daily,wood,hybrid,petrol,medium,never,4,3,565,3.38,1265,9.36
overweight,pescetarian,female,high,daily,electricity,public,electric,small,frequently,9,7,317,1.51,2901,3.79
athletic,vegan,female,low,frequently,electricity,hybrid,diesel,extra large,never,19,7,141,0.98,4829,4.77
overweight,vegan,male,low,twice a day,electricity,bike,diesel,medium,never,14,7,342,3.1,3836,4.17
underweight,vegetarian,other,moderate,twice a day,wood,public,electric,small,never,12,4,436,11.77,1287,8.69
underweight,vegan,female,moderate,rarely,solar,hybrid,diesel,extra large,rarely,13,3,179,3.08,4351,9.53
underweight,pescetarian,other,low,twice a day,wood,walk,hybrid,small,never,16,7,534,10.27,619,9.12
average,vegan,male,high,rarely,electricity,public,diesel,small,rarely,6,1,160,5.51,3396,1.12
overweight,vegan,other,moderate,rarely,solar,bike,hybrid,large,rarely,3,2,477,3.03,4321,2.55
underweight,vegetarian,other,high,twice a day,wood,walk,diesel,small,rarely,8,6,283,9.87,3009,9.06
athletic,vegan,male,moderate,rarely,wood,public,diesel,small,never,18,2,86,9.06,3304,5.73
underweight,omnivore,female,moderate,daily,solar,hybrid,diesel,large,never,13,1,154,7.41,2732,4.4
underweight,vegetarian,other,low,daily,gas,bike,electric,small,rarely,2,5,388,3.44,4587,4.66
underweight,vegetarian,other,moderate,daily,electricity,hybrid,diesel,large,frequently,3,4,239,9.15,3132,8.42
average,pescetarian,female,moderate,frequently,gas,walk,petrol,extra large,frequently,1,7,240,0.23,3546,8.31
athletic,pescetarian,female,high,rarely,electricity,walk,electric,large,frequently,7,7,105,3.36,171,8.45
overweight,pescetarian,other,moderate,rarely,electricity,walk,hybrid,extra large,never,1,2,163,10.34,457,8.63
athletic,pescetarian,male,moderate,daily,gas,public,petrol,large,rarely,3,6,75,2.81,3830,1.63
overweight,omnivore,female,high,frequently,gas,bike,petrol,extra large,never,1,1,159,7.56,3174,7.81
average,vegetarian,female,low,twice a day,electricity,walk,petrol,small,rarely,3,4,500,5.75,2345,6.5
average,vegan,male,low,daily,solar,hybrid,petrol,extra large,frequently,8,4,202,5.15,3444,3.28
average,pescetarian,other,moderate,frequently,solar,bike,diesel,extra large,never,1,1,550,8.23,2424,6.33
average,pescetarian,female,moderate,twice a day,gas,hybrid,diesel,medium,frequently,19,2,521,0.46,929,7.15
overweight,pescetarian,other,high,frequently,gas,hybrid,petrol,extra large,rarely,16,5,410,5.97,3074,6.14
underweight,vegan,other,low,twice a day,wood,walk,electric,small,frequently,0,2,586,5.28,4326,4.17
overweight,pescetarian,other,low,rarely,solar,bike,petrol,medium,rarely,5,2,242,9.01,3615,3.2
athletic,vegan,male,low,rarely,solar,private,hybrid,medium,never,15,2,416,5.12,1215,1.78
average,vegetarian,other,high,frequently,electricity,public,petrol,large,never,3,6,212,10.86,3135,1.51
average,vegetarian,other,high,frequently,wood,private,diesel,extra large,frequently,,2,321,11.91,2852,4.17
athletic,vegetarian,female,high,twice a day,electricity,public,hybrid,large,never,4,6,593,,755,3.13
overweight,omnivore,female,moderate,frequently,wood,bike,electric,large,rarely,8,6,288,9.55,1468,5.45
underweight,vegan,male,low,frequently,solar,walk,petrol,extra large,rarely,4,3,438,8.6,4331,6.07
underweight,pescetarian,male,moderate,twice a day,electricity,bike,hybrid,large,frequently,1,1,59,6.73,1557,4.42
athletic,pescetarian,female,moderate,twice a day,wood,private,petrol,small,rarely,6,5,377,9.44,2369,4.42
underweight,pescetarian,female,high,rarely,electricity,hybrid,electric,small,never,14,6,394,7.23,4405,7.74
overweight,pescetarian,male,low,daily,wood,public,electric,extra large,frequently,7,5,445,11.54,2862,1.05
overweight,omnivore,other,moderate,frequently,gas,public,hybrid,extra large,frequently,2,3,139,10.67,1589,9.98
athletic,pescetarian,male,low,twice a day,electricity,private,electric,medium,never,10,5,501,6.92,1924,4.97
overweight,omnivore,other,moderate,rarely,gas,walk,hybrid,extra large,never,9,3,496,5.1,2406,6.29
average,vegan,female,high,daily,wood,bike,electric,extra large,never,3,3,459,2.36,1495,3.19
athletic,vegetarian,female,moderate,frequently,electricity,private,diesel,small,frequently,11,6,493,2.94,2495,2.89
overweight,pescetarian,female,high,rarely,wood,bike,hybrid,small,frequently,12,5,448,2.63,3560,7.06
athletic,vegetarian,other,low,daily,wood,walk,petrol,extra large,rarely,6,5,54,10.7,4147,9.75
underweight,vegan,male,moderate,frequently,gas,hybrid,hybrid,medium,frequently,18,7,145,11,1694,9.18
overweight,vegan,other,moderate,rarely,electricity,bike,electric,small,frequently,15,2,573,3.84,4853,9.39
average,pescetarian,male,high,frequently,solar,walk,electric,small,rarely,9,6,393,8.42,2853,5.57
overweight,vegan,male,high,daily,wood,private,electric,large,frequently,6,3,538,1.5,233,4.23
athletic,vegetarian,male,low,twice a day,gas,hybrid,petrol,extra large,rarely,2,4,257,6.74,3411,7.89
athletic,pescetarian,female,high,rarely,solar,hybrid,petrol,large,rarely,1,1,577,3.59,4957,5.88
overweight,omnivore,male,low,daily,gas,hybrid,electric,extra large,rarely,0,2,356,11.41,1590,8.32
average,pescetarian,female,moderate,frequently,gas,public,diesel,medium,never,15,7,593,1.63,1390,7.29
average,vegetarian,male,low,daily,gas,walk,hybrid,large,never,12,6,277,1.62,1350,4.27
average,pescetarian,male,low,daily,wood,bike,electric,small,frequently,2,3,278,9.26,732,1.62
athletic,pescetarian,female,low,twice a day,solar,private,diesel,extra large,rarely,13,6,436,3.74,3435,3.65
overweight,vegetarian,female,moderate,rarely,wood,hybrid,petrol,extra large,never,17,2,420,3.06,1716,8.48
underweight,pescetarian,other,moderate,daily,wood,hybrid,electric,large,rarely,10,2,397,2.51,2017,5.15
athletic,pescetarian,male,high,twice a day,electricity,hybrid,hybrid,large,rarely,18,6,73,3.04,959,8.39
average,vegetarian,female,low,twice a day,solar,walk,hybrid,medium,never,2,7,62,11.87,4384,7.28
overweight,vegan,other,moderate,twice a day,electricity,private,petrol,small,rarely,19,6,566,5.44,3143,3.78
average,vegetarian,other,low,frequently,gas,walk,electric,medium,frequently,1,1,227,3,4502,4.97
underweight,pescetarian,female,low,twice a day,solar,private,electric,small,frequently,5,5,509,0.76,2353,6.91
average,omnivore,male,low,twice a day,solar,bike,electric,small,frequently,3,5,424,1.45,4340,8.89
average,omnivore,other,moderate,twice a day,wood,public,diesel,extra large,frequently,12,6,451,7.88,2570,1.35
underweight,vegetarian,male,low,twice a day,gas,private,diesel,small,never,7,1,338,3.13,3703,9.93
overweight,omnivore,male,low,rarely,wood,walk,electric,large,never,14,6,235,6.67,1577,4.67
athletic,pescetarian,other,high,rarely,electricity,walk,hybrid,extra large,frequently,0,2,552,6.63,176,2.17
overweight,pescetarian,female,low,twice a day,gas,walk,diesel,medium,never,15,3,211,4.34,3846,3.98
underweight,vegetarian,male,high,daily,wood,public,hybrid,small,frequently,19,5,507,8.56,1489,8.16
average,pescetarian,female,low,frequently,wood,private,diesel,extra large,never,4,7,80,0.4,4350,6.17
overweight,vegan,other,high,daily,wood,private,petrol,large,never,12,4,128,5,2947,2
athletic,pescetarian,male,moderate,daily,gas,private,petrol,medium,rarely,16,6,332,5.21,4805,4.49
underweight,vegetarian,female,moderate,twice a day,electricity,private,petrol,extra large,frequently,1,6,236,1.49,1834,1.5
overweight,vegan,female,low,daily,solar,hybrid,hybrid,extra large,rarely,12,3,588,0.18,1925,1.6
athletic,vegan,male,high,rarely,wood,hybrid,hybrid,large,frequently,1,2,424,6.41,2808,2.99
underweight,omnivore,female,moderate,rarely,gas,walk,electric,large,never,10,4,434,3.54,4352,4.16
athletic,pescetarian,female,low,frequently,solar,hybrid,electric,small,frequently,14,3,125,11.19,1575,7.24
underweight,vegetarian,other,low,rarely,wood,private,petrol,medium,rarely,8,1,456,8.47,4836,1.15
average,omnivore,other,high,rarely,gas,private,petrol,extra large,rarely,18,4,172,1.06,258,3.84
overweight,omnivore,female,high,twice a day,electricity,hybrid,diesel,large,never,3,6,517,7.87,528,4.22
athletic,pescetarian,female,low,rarely,wood,bike,petrol,large,rarely,16,2,240,10.5,436,3.79
underweight,pescetarian,male,high,daily,gas,walk,petrol,extra large,never,14,7,304,11.48,2474,2.28
athletic,vegetarian,other,high,daily,wood,public,petrol,large,never,6,6,261,3.75,4052,8.75
athletic,omnivore,male,moderate,rarely,gas,walk,hybrid,large,never,12,4,333,5.26,1123,3.89
overweight,vegetarian,female,high,frequently,electricity,walk,hybrid,small,never,7,1,329,7.74,655,8.6
average,omnivore,male,low,frequently,electricity,walk,petrol,extra large,never,0,5,327,10.91,4117,2.71
athletic,omnivore,female,high,frequently,gas,hybrid,diesel,small,rarely,8,5,519,8.11,1415,7.5
underweight,omnivore,other,low,rarely,solar,walk,diesel,medium,rarely,17,6,217,4.61,1656,2.8
underweight,pescetarian,other,low,frequently,electricity,private,electric,large,rarely,16,7,252,1.08,2426,4.08
average,omnivore,female,high,rarely,wood,walk,petrol,small,rarely,16,5,145,1.73,2864,7.1
underweight,omnivore,other,high,daily,electricity,private,hybrid,extra large,never,7,1,433,6.57,3149,5.93
average,omnivore,female,high,frequently,wood,hybrid,petrol,medium,frequently,2,6,158,2.86,2181,3.4
underweight,vegan,male,moderate,frequently,electricity,hybrid,diesel,medium,frequently,10,7,387,5.39,4904,8.93
overweight,pescetarian,female,moderate,frequently,electricity,walk,hybrid,small,frequently,1,3,107,4.89,4994,5.25
athletic,vegan,male,high,daily,wood,private,hybrid,small,frequently,1,1,247,6.85,1391,8.1
overweight,pescetarian,female,low,rarely,electricity,private,hybrid,large,rarely,15,4,384,4,3153,8.76
athletic,vegetarian,other,high,daily,wood,private,electric,small,never,16,3,546,5.53,2893,5.05
athletic,vegan,female,moderate,daily,wood,private,petrol,small,rarely,8,5,367,6.98,3071,4
athletic,vegetarian,female,moderate,twice a day,electricity,public,petrol,small,rarely,0,6,215,7.13,531,5.98
overweight,omnivore,female,high,frequently,electricity,hybrid,petrol,medium,rarely,11,1,430,5.61,4991,1.74
athletic,vegetarian,other,low,rarely,wood,private,diesel,extra large,never,5,2,393,8.57,471,7.15
overweight,vegetarian,female,low,rarely,gas,public,hybrid,small,rarely,10,5,453,4.68,699,7.79
average,vegetarian,other,moderate,twice a day,electricity,public,hybrid,medium,never,5,2,589,9.46,4401,1.96
underweight,vegetarian,female,moderate,twice a day,solar,hybrid,diesel,medium,frequently,19,6,279,11.82,2670,3.67
underweight,pescetarian,male,moderate,daily,electricity,bike,electric,small,rarely,4,3,555,9.11,2441,7.9
athletic,vegan,female,low,twice a day,gas,walk,diesel,medium,never,12,5,250,9.36,1258,3.85
overweight,pescetarian,male,moderate,rarely,gas,hybrid,hybrid,large,rarely,0,6,69,10.47,913,6.53
underweight,pescetarian,other,moderate,rarely,electricity,bike,electric,extra large,frequently,15,1,156,1.24,2704,6.41
overweight,pescetarian,other,low,rarely,electricity,walk,electric,large,never,18,2,518,6.73,3302,3.33
overweight,vegetarian,female,moderate,daily,solar,walk,hybrid,extra large,frequently,10,1,71,8.06,796,7.89
athletic,pescetarian,other,moderate,frequently,electricity,walk,diesel,medium,frequently,1,7,254,10.98,2516,5.45
underweight,vegan,female,high,frequently,gas,public,petrol,small,never,0,5,96,10,354,2.08
athletic,pescetarian,other,moderate,daily,solar,private,petrol,small,rarely,12,1,74,4.67,1352,1.92
athletic,omnivore,male,high,rarely,electricity,walk,petrol,medium,never,16,5,199,3.74,1796,9.26
underweight,vegetarian,other,moderate,rarely,solar,private,diesel,small,frequently,13,4,366,3.55,2750,4.44
underweight,omnivore,male,moderate,daily,solar,walk,hybrid,medium,never,16,1,168,3,4168,5.99
average,vegan,female,high,daily,gas,public,diesel,large,rarely,9,4,197,3.71,1733,6.77
average,vegan,female,moderate,twice a day,gas,walk,petrol,medium,never,16,2,257,8.81,3683,7.52
overweight,vegan,female,high,daily,wood,hybrid,petrol,medium,frequently,12,7,69,1.39,2358,4.72
underweight,vegan,male,moderate,frequently,gas,bike,petrol,large,rarely,5,6,407,8.82,3130,5.39
average,pescetarian,female,high,daily,wood,walk,diesel,large,rarely,3,1,86,2.33,4709,7.58
overweight,vegetarian,female,high,rarely,gas,bike,diesel,medium,never,3,1,192,7.49,4047,6.92
overweight,vegan,male,moderate,rarely,gas,bike,petrol,large,never,13,2,186,7.15,3420,6.56
overweight,omnivore,other,moderate,rarely,wood,public,electric,extra large,never,3,1,221,7.11,4063,4.49
average,vegan,female,high,frequently,wood,bike,petrol,large,frequently,4,7,445,3.73,2801,9.69
underweight,vegetarian,other,low,frequently,wood,public,hybrid,small,rarely,13,5,288,1.8,4170,2.66
athletic,omnivore,other,moderate,twice a day,solar,walk,diesel,large,rarely,14,4,202,9.5,1712,2.05
overweight,omnivore,female,moderate,daily,wood,private,electric,large,rarely,7,3,251,2.9,3759,3.57
average,omnivore,female,low,twice a day,solar,public,electric,medium,rarely,10,5,99,0.95,3032,3.26
average,pescetarian,male,low,daily,solar,bike,hybrid,large,rarely,6,3,188,1.9,3494,9.65
athletic,vegan,male,high,daily,wood,bike,petrol,extra large,frequently,12,2,388,1.37,1884,1.08
athletic,pescetarian,female,moderate,frequently,wood,walk,petrol,medium,rarely,13,2,328,8.58,816,8.92
average,omnivore,other,high,rarely,wood,public,petrol,extra large,never,8,1,137,8.94,4959,4.66
underweight,pescetarian,male,moderate,daily,gas,walk,hybrid,small,frequently,14,5,394,4.06,413,6.11
athletic,pescetarian,male,low,frequently,gas,public,diesel,medium,frequently,7,6,297,9.18,207,7.24
average,pescetarian,female,high,twice a day,wood,private,diesel,medium,rarely,1,3,571,10.06,3655,1.4
athletic,vegan,female,moderate,rarely,electricity,hybrid,hybrid,small,never,11,4,291,5.73,3491,5.66
